United States;America;7329500000;1299609;19926292036266;2179396767;313
India;Asia;4310600000;3728212;49504048488962;1791753831;168
Brazil;America;1221800000;168178;481208975856;347807000;62
South Korea;Asia;481700000;129724;225591683968;320228600;17
United Kingdom;Europe;917400000;86816;430566530816;175909999;43
Pakistan;Asia;155400000;507947;113293417248;157100447;6
Argentina;America;328500000;17240;194415355392;150600072;13
Russia;Europe;407200000;19558;232996326202;138721269;16
United Arab Emirates;Asia;148200000;188422;75320614144;121346700;7
Indonesia;Asia;534100000;678321;151010668553;117579104;28
Colombia;America;264500000;10779;154197804288;115100000;11
Turkey;Europe;91600000;28189;92399244288;96112500;4
Mexico;America;626900000;33410;198219930496;86250569;33
Japan;Asia;189100000;18856;85682016256;84200119;5
Philippines;Asia;240100000;838543;129128043968;81497700;12
Thailand;Asia;386500000;858953;264317976832;79348501;18
Canada;America;363900000;46745;191320573184;74244600;15
Germany;Europe;116400000;6743;54232246656;67573000;6
Italy;Europe;39400000;1805;19894898688;60200000;2
Latvia;Europe;20200000;1935;20919404544;59800000;1
Spain;Europe;385100000;70160;132520734592;48159424;22
Ukraine;Europe;125600000;220128;58465331712;31800005;8
Australia;Oceania;172000000;7179;69141810944;29045208;9
Sweden;Europe;63000000;1293;20036901600;27743800;4
Saudi Arabia;Asia;179100000;13107;79666984192;20329900;9
Vietnam;Asia;47800000;5408;25088312832;18100000;3
Jordan;Asia;67000000;6667;53090079744;17900000;3
Netherlands;Europe;58100000;14329;23866285952;9100000;3
Barbados;America;41900000;84;22477746176;8800000;1
Chile;America;87200000;6771;29347556864;8000002;3
Kuwait;Asia;30500000;641;4521573888;7600000;1
Iraq;Asia;30200000;3860;17007651840;7100000;2
Malaysia;Asia;17700000;1716;9059695616;5700000;1
Singapore;Asia;59700000;32039;28978903040;5645100;3
France;Europe;83900000;2227;30557640320;4348072;5
Egypt;Africa;30600000;5936;9824740352;3800000;2
Ecuador;America;27700000;1934;5492461568;3787600;2
Switzerland;Europe;19400000;10728;5529132032;2800000;1
Morocco;Africa;14500000;176;4315486208;1800000;1
El Salvador;America;46100000;543;10323391488;1600000;1
China;Asia;17600000;128;2977741568;1100000;1
Finland;Europe;13200000;172;2036408448;977700;1
Peru;America;14400000;399;1629801472;48100;1
Venezuela;America;31200000;65;9673649152;172;1
Samoa;Oceania;13100000;12;6637820928;18;1
Cuba;America;46300000;1;22936631296;5;1
Bangladesh;Asia;13900000;6;12129583104;5;1
Andorra;Europe;15100000;159;2400037632;4;1
Afghanistan;Asia;20400000;0;13397000192;0;1
